"question","answer"
"Quelle est la deuxième valeur fondamentale de la SAR et sa devise ?","Intégrité et Éthique : Agir avec droiture et transparence."
"Quelle est la troisième valeur fondamentale de la SAR et son principe ?","Esprit d'équipe : Ensemble, nous sommes plus forts."
"Quelle est la quatrième valeur fondamentale de la SAR et son engagement ?","Sens des Responsabilités : Nous sommes garants de nos engagements."
"Quelle est la cinquième valeur fondamentale de la SAR et son standard ?","Performance : L'excellence est notre standard."
"Quelle est la mission du service Sûreté de la SAR ?","Assurer la sauvegarde du patrimoine de l'entreprise contre tout acte de malveillance."
"Quelle est la mission du Service Environnement de la SAR ?","Évaluer et maîtriser les impacts environnementaux liés aux activités de la raffinerie."
"Quelle est la principale mission de la Direction des Systèmes d'Information (DSI) ?","Assurer la digitalisation des processus et garantir la sécurité des données de l'entreprise."
"Quelle est la mission de la Direction des Ressources Humaines ?","Développer le capital humain en favorisant un climat social apaisé et la montée en compétences."
"Quel est le rôle du comité CHS-CT (Comité d’Hygiène, de Sécurité et des Conditions de Travail) ?","Il est activement impliqué dans la mise en œuvre des actions du programme de management des risques de l'entreprise."
"Quelle est la mission du service Inspection de la SAR ?","Assurer le respect des exigences réglementaires pour les équipements sous pression et établir les plans d'inspection."
"Avec quelle grande école d'ingénieurs de Dakar la SAR a-t-elle un partenariat institutionnel ?","L'ESP (École Supérieure Polytechnique de Dakar)."
"Avec quel cabinet la SAR a-t-elle organisé un séminaire en management pour ses cadres ?","Le cabinet ITTE."
"Quel était le thème principal de l'événement ""ARDA Week"" en 2022, axé sur l'environnement ?","Atteindre une empreinte carbone plus faible dans l’aval pétrolier en Afrique."
"Quel est l'objectif principal du projet de modernisation ""SAR 2.0"" ?","Assurer la souveraineté énergétique du Sénégal et approvisionner le marché sous-régional."
"À combien s'élève le coût estimatif du projet SAR 2.0 en dollars ?","5 milliards de dollars."
"Quel est le coût approximatif du projet SAR 2.0 en francs CFA ?","Environ 3000 milliards de francs CFA."
"Quelle augmentation de chiffre d'affaires la SAR anticipe-t-elle grâce au projet SAR 2.0 ?","Il devrait passer de 1000 milliards à 3000 milliards de francs CFA."
"Avec quelle agence gouvernementale la SAR collabore-t-elle pour la recherche de financements privés ?","L'Apix S.a."
"Vers quel secteur d'activité majeur la SAR prévoit-elle de se diversifier ?","La pétrochimie."
"Quelle entreprise internationale a été choisie pour la modernisation des installations de la raffinerie ?","Technip Energies."
"Quel est le nom complet du projet de modernisation mené avec Technip Energies ?","Augmentation de capacités et d'adaptation au brut sénégalais (Acatbs)."
"Dans quels domaines spécifiques l'Apix apporte-t-elle son savoir-faire à la SAR ?","Dans la libération des emprises foncières, la structuration de projet et la recherche d’investisseurs."
"Quelle est l'adresse du siège social de la SAR à Dakar ?","15 Boulevard de la République, Dakar."
"Quelle est l'adresse email générique pour contacter la SAR ?","sar@sar.sn."
"Quel est le numéro de téléphone du standard de l'usine de la SAR ?","(221) 33 839 84 39."
"Citez les 8 principaux produits finis que la SAR s'engage à fournir au marché sénégalais.","Gaz butane, essence super, essence ordinaire, kérosène, pétrole lampant, gasoil, diesel oil et fuel oil."
"Quelle est la matière première essentielle transformée par la SAR ?","Le pétrole brut."
"Comment une personne peut-elle soumettre une candidature spontanée à la SAR ?","Via le formulaire dédié disponible sur le site web de l'entreprise."
"Qui est l'actuel Directeur général de la SAR ?","Mamadou Abib Diop."
"Qui est le Directeur général de l'Apix S.a, partenaire de la SAR ?","Bakary Séga Bathily."
"En quelle année la Société Africaine de Raffinage (SAR) a-t-elle été créée ?","En 1961."
"Quand les activités de la SAR ont-elles officiellement commencé ?","Le 31 octobre 1963."
"Qui a inauguré la raffinerie et à quelle date ?","Le Président Léopold Sédar Senghor, le 27 janvier 1964."
"Qui est le ministre de l’Énergie, du Pétrole et des Mines mentionné dans le contexte de la SAR ?","Birame Souleye Diop."
"Où la raffinerie de la SAR est-elle géographiquement située ?","Dans la baie de Mbao, à proximité de Dakar."
"Quel pourcentage de la demande nationale en carburant la SAR couvre-t-elle actuellement ?","Environ 50%."
"Quelle est l'ambition de la SAR 2.0 concernant la couverture de la demande nationale ?","Couvrir 100% de la demande nationale en carburants."
"Quelle quantité de la première cargaison de pétrole brut de Sangomar la SAR a-t-elle achetée en février 2025 ?","650 000 barils."
"Quel est le principal produit dérivé obtenu après le raffinage du brut de Sangomar ?","Le fioul."
"À quelle entreprise nationale le fioul produit à partir du brut de Sangomar est-il principalement destiné ?","À la Senelec."
"La SAR bénéficie-t-elle d'un prix préférentiel pour l'achat du pétrole de Sangomar ?","Non, elle n'a aucune décote ni prix préférentiel."
"Quel brut s'avère actuellement plus rentable pour la SAR que celui du Sénégal ?","Le brut du Nigéria."
"Quelle était la capacité de traitement initiale de la SAR à sa création ?","600 000 tonnes par an."
"À combien la capacité de production a-t-elle été portée après la récente modernisation par Technip Energies ?","De 1,2 million à 1,5 million de tonnes par an."
"Quelle est la capacité de production journalière visée par le champ pétrolier de Sangomar ?","100 000 barils par jour."
"Quand le Sénégal est-il officiellement devenu un pays producteur de pétrole ?","En juin 2024."
"Quelle société australienne exploite le champ pétrolier de Sangomar ?","La société Woodside."
"Quelle est la demande locale annuelle en produits pétroliers au Sénégal ?","Environ 3 millions de tonnes."
"Combien de barils de brut de Sangomar la SAR peut-elle traiter par jour avec sa capacité actuelle de 1,5Mt/an ?","Environ 24 000 barils par jour."
"Quel est le principal défi pour la rentabilité de la SAR lié au raffinage du brut de Sangomar ?","Son rendement élevé en fioul, un produit qui génère des marges de profit très faibles, voire nulles."
"Depuis quand un décret oblige-t-il la SAR à approvisionner la Senelec en fioul ?","Depuis 2012."
"Quelle est la longueur de la conduite sous-marine (sea-line) utilisée pour le déchargement du pétrole ?","5,6 km."
"Quelle est la capacité totale des bacs de stockage de pétrole brut de la raffinerie ?","220 000 m³."
"Citez une unité de production spécifique des installations de la SAR.","Une unité de reforming atmosphérique."
"Quel équipement moderne a été installé pour centraliser le pilotage des opérations ?","Une salle de commande centrale entièrement numérique."
"Quel grand projet d'infrastructure a nécessité le détournement des pipelines de la SAR ?","L'implantation du Train Express Régional (TER)."
"Quelle nouvelle unité de production la SAR prévoit-elle pour traiter des bruts moins chers et plus soufrés ?","Une unité d’hydrodésulfuration du gasoil (HDS)."
"Quel est l'objectif de capacité de distillation à long terme pour la SAR ?","Passer de 1,5 à 3,5 millions de tonnes par an."
"Dans la future configuration à 3,5 millions de tonnes, quelle sera la part de brut sénégalais traité ?","75 % du volume total sera du brut de Petrosen."
"Quel type de grand bac de stockage la SAR prévoit-elle de construire ?","Un bac de stockage de pétrole brut à toit flottant, d'une capacité de 50 000 m³."
"Quelle est l'adresse email de contact générique de la SAR ?","sar@sar.sn."
"Qui est l'actuel Président du Conseil d'Administration (PCA) de la SAR ?","Adama Faye."
"Comment le pétrole brut est-il généralement acheminé jusqu'à la raffinerie ?","Par des navires pétroliers (tankers) d'une capacité moyenne de 100 000 tonnes."
"À quelle place la SAR se classait-elle parmi les 500 meilleures entreprises africaines en 2007 ?","À la 106e place."
"Quel était le chiffre d'affaires de la SAR en 2005, exprimé en dollars américains ?","764 147 000 $."
"Quel est le nom du directeur de projet SAR au sein de Technip Energies ?","Jean-Luc Favaron."
"Qui est le Directeur Pays de Technip Energies pour le Sénégal ?","Franck Pliya."
"Quand le ministre de l'Énergie a-t-il visité la SAR pour la cérémonie de départ des retraités de 2024 ?","Le jeudi 26 décembre 2024."
"Quelles personnalités accompagnaient le ministre de l'Énergie lors de sa visite à la SAR ?","Son collègue du Travail, Abass Fall, et le président de la commission énergie de l'Assemblée, Babacar Ndiaye."
"Quel projet la SAR a-t-elle initié pour renforcer la sécurité de ses accès ?","Un projet d’automatisation des accès à l’usine et aux autres lieux sensibles."
"Quelle est la différence entre l'organisation d'achat PROD et ABSM ?","PROD est exclusivement réservée aux achats de produits pétroliers, tandis qu'ABSM est utilisée pour tous les autres achats de biens et services."
"Fait-on une distinction entre SAP et SARANA ?","Oui, SAP est le nom du logiciel de gestion (ERP), tandis que SARANA est le nom de code du projet d'implémentation de SAP à la SAR."
"Quel code d'organisation d'achat doit-on utiliser pour les produits pétroliers ?","PROD."
"À quel département le groupe d'acheteurs ""020"" est-il rattaché ?","Au Département Achats."
"Peut-on utiliser le groupe d'acheteurs ""100"" (Procédé) pour des achats du département Maintenance ?","Non, le groupe 100 appartient au département Exploitation. Pour la Maintenance, il faut utiliser les groupes 120, 121 ou 122."
"Quelle est la spécialité du groupe d'acheteurs ""121"" ?","Il gère les achats liés à la mécanique."
"Quelle est la distinction fondamentale entre un magasin et un centre de coût ?","Un magasin sert à différencier physiquement les stocks d'articles, tandis qu'un centre de coût est une entité comptable où les achats sont imputés."
"Quelle est la fonction principale d'un centre de coût ?","C'est l'entité analytique sur laquelle les coûts des articles et services achetés seront imputés."
"Avec quelle transaction SAP peut-on créer une demande d'achat (DA) ?","Avec la transaction ME51N."
"Peut-on utiliser la transaction ME52N pour créer une demande d'achat ?","Non, ME52N sert uniquement à modifier une DA existante. La création se fait avec ME51N."
"À quoi sert la transaction ME53N ?","Elle permet uniquement d'afficher une demande d'achat, sans possibilité de modification."
"Quelle transaction utiliser pour la validation individuelle d'une demande d'achat ?","La transaction ME54N."
"La transaction ME47 permet-elle de valider une demande d'achat ?","Non, ME47 est utilisée pour valider techniquement une offre. La validation de DA se fait avec ME54N."
"Quelle est la portée des données saisies dans l'en-tête d'un document SAP ?","Les données d'en-tête s'appliquent à l'ensemble du document, c'est-à-dire à tous les postes qu'il contient."
"Quel est le type de demande d'achat à utiliser pour les achats standards ?","YABS."
"Le type d'imputation ""K"" est utilisé pour quel type d'achat ?","Pour imputer un article non stocké ou une fiche de service sur un centre de coût."
"Peut-on acheter un article géré en stock avec le type d'imputation ""K"" ?","Non, ""K"" est réservé aux articles non stockés. Pour les articles stockés, il faut laisser le champ ""type d'imputation"" vide."
"Quel type d'imputation utiliser pour un ordre d'investissement ?","Le type d'imputation ""F""."
"Combien de valideurs sont requis pour une demande d'achat imputée sur un ordre d'investissement (type F) ?","Deux valideurs sont nécessaires : le responsable hiérarchique ET le contrôleur de gestion."
"Quel type d'imputation est utilisé pour une immobilisation ?","Le type d'imputation ""A""."
"Que doit-on faire avant de créer une DA pour une immobilisation (type A) ?","Il faut s'assurer que la fiche d'immobilisation a été préalablement créée par le service comptabilité."
"Quelle valeur doit toujours être renseignée dans le champ ""Division"" ?","Toujours RAFF."
"Quel type de poste doit-on sélectionner pour une prestation de service ?","Le type de poste ""P"" (pour prestation)."
"Dans une demande d'achat pour une prestation de service, quelle quantité doit-on indiquer au niveau du poste ?","On doit toujours indiquer la quantité ""1"", car les détails réels sont renseignés dans l'onglet ""Services""."
"Que se passe-t-il si l'on coche la case ""version terminée"" et qu'on sauvegarde une DA ?","Attention, cela réinitialise complètement la stratégie de validation, qui devra reprendre à zéro."
"Est-il obligatoire de renseigner un motif lors de la création d'une nouvelle version d'une DA ?","Oui, un motif ET un texte descriptif sont obligatoires pour créer une nouvelle version."
"Un email de notification est-il envoyé au créateur en cas de validation de sa DA ?","Oui, un email de confirmation est envoyé."
"Dans quel cas un email est-il envoyé au créateur si sa DA est refusée ?","Uniquement si la DA est refusée ET qu'elle était imputée sur un ordre d'investissement (type F)."
"À qui correspond le code de lancement de validation Z1 ?","Au responsable hiérarchique."
"Que signifie le symbole du triangle jaune dans le circuit de validation ?","Il indique que l'étape est en attente de validation."
"Comment peut-on annuler une validation déjà effectuée dans SAP ?","En cliquant sur la flèche de retour correspondante dans la stratégie de validation."
"Où doit-on justifier le refus d'une demande d'achat ?","La justification doit être saisie dans l'onglet ""Textes"" au niveau du poste concerné."
"Quelle transaction utiliser pour effectuer une validation groupée de plusieurs DA ?","La transaction ME55."
"Qu'est-ce qu'une demande d'offre dans le processus d'achat ?","C'est le document officiel issu de l'appel d'offres, qui est envoyé par les acheteurs aux fournisseurs pour obtenir leurs propositions."
"Quelles sont les trois valeurs possibles pour la caractéristique d'une offre lors de la validation technique ?","Vide (en attente), KO (refusé), ou OK (validé)."
"Que se passe-t-il si certains postes d'une offre sont ""OK"" et d'autres ""KO"" ?","L'offre reste en attente de validation. Elle ne sera considérée comme validée que lorsque TOUS ses postes seront marqués ""OK""."
"Dans quel ordre doit-on saisir le type d'imputation et le type de poste pour éviter d'être bloqué ?","Il faut TOUJOURS renseigner le type d'imputation en premier, avant le type de poste."
"Le champ ""fournisseur souhaité"" est-il obligatoire dans une demande d'achat ?","Non, il est optionnel et non bloquant."
"Où les détails d'une prestation (quantités, prix) doivent-ils être saisis dans une DA ?","Dans l'onglet spécifique ""Services""."
"Le groupe de marchandises est-il toujours saisi manuellement ?","Non, pour les articles déjà existants, il est automatiquement repris depuis la fiche article."
"Quelle est la criticité par défaut attribuée à une nouvelle demande d'achat ?","Non critique."
"Quelle est la criticité par défaut d'une demande d'achat (DA) lors de sa création ?","Par défaut, elle est considérée comme ""non critique"". L'utilisateur peut la modifier en ""critique"" si nécessaire."
"Que signifie l'absence de message après avoir lancé un contrôle sur une DA ?","Cela signifie que le contrôle s'est bien déroulé et qu'il n'y a aucune erreur dans la saisie."
"Comment le système confirme-t-il l'enregistrement d'une nouvelle demande d'achat ?","Il affiche un message en bas de l'écran indiquant le numéro de la demande d'achat qui vient d'être créée."
"Le numéro de la demande d'achat est-il choisi par l'utilisateur ?","Non, il est attribué automatiquement par le système lors de la sauvegarde."
"Quel est le nom de code du projet d'implémentation de SAP à la SAR ?","SARANA."
"Qui sont les formateurs référents pour ce module Achats ?","Adama BALL et Abdoulaye FALL."
"Tous les types de demandes d'achat nécessitent-ils une validation ?","Non, seulement les types YAMG (moyens généraux) et YABS (achats standards) requièrent une validation."
"À quelle condition une demande d'achat validée peut-elle être transformée en commande ?","Une DA ne peut être transformée en commande qu'après avoir été entièrement validée."
"Quel est l'impact analytique de la validation d'une demande d'achat ?","La validation met à jour l'engagement budgétaire au niveau de l'objet analytique imputé (centre de coût, ordre, etc.)."
"Dans la transaction de validation groupée (ME55), que représentent les clés de lancement Z1 et Z2 ?","Elles représentent les différentes étapes de validation : Z1 pour le responsable hiérarchique et Z2 pour le contrôleur de gestion."
"Dans quel onglet peut-on consulter l'historique des modifications d'une DA ?","Dans l'onglet ""Versions"", au niveau du poste de la demande d'achat."
"À quoi correspond le magasin ""M001"" ?","C'est le magasin général."
"Le magasin ""M005"" est-il le magasin général ?","Non, M005 est le magasin destiné au Rebut. Le magasin général est M001."
"Dans quel cas le champ ""fournisseur attendu"" doit-il être utilisé ?","Il est utilisé uniquement dans le cadre du flux de planification des besoins (MRP)."
"Quel est le code du magasin utilisé pour les arrêts techniques ?","M002."
"Que signifie le type d'imputation ""O"" ?","Il signifie que l'achat est imputé sur un ordre de fonctionnement pour un article non stocké."
"Quelle est la particularité du type d'imputation ""M"" (Maintenance) ?","Il peut être utilisé aussi bien pour des articles stockés que pour des articles non stockés."
"Quelle transaction utiliser pour simplement afficher une offre, sans la modifier ?","La transaction ME48."
"Peut-on utiliser la transaction ME47 pour afficher une offre ?","Non, ME47 sert à gérer l'offre (la valider ou la refuser). Pour un simple affichage, il faut utiliser ME48."
"Quelle est la codification de la division utilisée dans le module Maintenance (SAP PM) ?","RAFF."
"Qui sont les formateurs référents pour la gestion des ordres de travail dans SAP PM ?","Djibril NDIAYE et Moussa FALL."
"Qu'est-ce qu'un ordre de travail dans SAP PM ?","C'est le document qui centralise toutes les informations sur une intervention : durée, pièces de rechange utilisées, intervenants, et coûts associés."
"Quelle est la différence entre un avis de maintenance et un ordre de travail ?","L'avis sert à notifier et décrire une panne ou un besoin, tandis que l'ordre de travail sert à planifier et exécuter l'intervention technique."
"Sur quels deux documents principaux repose la maintenance standard dans SAP ?","Sur la gestion des avis de pannes (notification) et des ordres de travaux (exécution)."
"À quel type de maintenance correspond l'ordre de type O1 ?","À la maintenance corrective (suite à une panne)."
"À quel type de maintenance correspond l'ordre de type O2 ?","À la maintenance préventive (planifiée)."
"À quel type d'intervention correspond l'ordre de type O3 ?","À une ronde d'inspection."
"À quel contexte spécifique correspond l'ordre de type O4 ?","À un ordre de maintenance réalisé durant un arrêt technique."
"À quel type de projet correspond l'ordre de type O5 ?","À un ordre de maintenance lié à un investissement."
"Quelle transaction utiliser pour créer un ordre de travail directement à partir d'un avis ?","IW28 (Traitement de liste d'avis)."
"Quelle transaction utiliser pour créer un ordre de travail directement, sans avis préalable ?","IW31."
"Quelle transaction utiliser pour modifier un ordre de travail dont on connaît le numéro ?","IW32."
"Quelle transaction utiliser pour rechercher et modifier un ordre de travail sans connaître son numéro ?","IW38 (Traitement de liste d'ordres)."
"Quelle transaction permet de confirmer les temps passés sur les opérations d'un ordre ?","IW41."
"Quel est le chemin de menu pour accéder à la transaction IW28 ?","Logistique -> Maintenance -> Gestion de la maintenance -> Avis -> Traitement de liste -> IW28."
"Quels sont les trois champs obligatoires pour créer un ordre de travail ?","Le type d'ordre (O1, O2...), la division de planification (RAFF), et le poste de travail principal."
"D'où proviennent les données de l'en-tête lors de la création d'un ordre depuis un avis ?","Elles sont chargées automatiquement depuis les informations contenues dans l'avis sélectionné."
"Qu'est-ce qu'une opération dans un ordre de travail ?","C'est une tâche spécifique à réaliser dans le cadre de l'intervention globale."
"Quelle clé de commande utiliser pour une opération réalisée par du personnel interne ?","PM01."
"Quelle clé de commande utiliser pour une prestation de service réalisée par une entreprise externe ?","PM03."
"Un ordre de travail peut-il contenir plusieurs opérations ?","Oui, un ordre peut contenir une ou plusieurs opérations détaillant les étapes du travail."
"Comment ajouter un outillage nécessaire à une opération dans un ordre de travail ?","Via le bouton d'ajout de composant, en saisissant la référence de l'article et la quantité nécessaire."
"Quelle est la procédure pour associer un permis de travail à une opération dans un ordre SAP ?","Il faut sélectionner l'opération, aller dans le menu ""Extension"", puis saisir le numéro et la date du permis."
"Le système SAP gère-t-il le contenu des permis de travail ou seulement leur référence ?","Le permis est géré en dehors du système ; dans SAP, on ne saisit que sa référence pour la traçabilité."
"Quelles informations sont requises pour une opération de service externe (clé PM03) ?","Le groupe de marchandises, le groupe d'acheteurs, la description du service, une quantité de 1, et un prix estimatif."
"Quel document est automatiquement généré lorsqu'on lance un ordre contenant une opération externe (clé PM03) ?","Une demande d'achat est automatiquement générée après le lancement de l'ordre."
"Dans un ordre de travail, qu'est-ce qu'un ""composant"" ?","C'est une pièce de rechange ou un article nécessaire pour réaliser l'intervention."
"Dans quel onglet de l'ordre de travail ajoute-t-on les composants nécessaires ?","Dans l'onglet ""Composants""."
"Quelle est la différence de traitement entre un article stocké et un article non stocké ajouté comme composant ?","Un article stocké génère une réservation dans le magasin, tandis qu'un article non stocké génère une demande d'achat."
"Comment peut-on consulter les données d'achat d'un composant non stocké ?","Il faut sélectionner la ligne du composant et cliquer sur le bouton ""Achats""."
"Comment peut-on consulter les détails de la réservation pour un composant stocké ?","Il faut sélectionner la ligne du composant et cliquer sur le bouton ""Données générales""."
"Que contiennent les informations de l'onglet ""Localisation"" de l'ordre de travail ?","Cet onglet contient les données d'imputation comptable, comme le centre de coûts."
"Sous quels statuts un ordre de travail peut-il être modifié ?","Un ordre ne peut être modifié que s'il a le statut ""Ouvert"" ou ""En cours""."
"Quels sont les principaux critères de recherche pour retrouver un ordre de travail dans la transaction IW38 ?","On peut rechercher par type d'ordre, poste technique, équipement, ou sur une période donnée."
"Que signifie le statut système ""01 WCRE"" pour un ordre de travail ?","Il signifie ""Ordre à préparer""."
"Que signifie le statut ""02 RPA"" ?","Préparation pour le prochain arrêt."
"Que signifie le statut ""03 RPAG"" ?","Préparation pour un grand arrêt."
"Que signifie le statut ""04 EXEM"" ?","L'ordre est en cours d'exécution alors que l'unité de production est en marche."
"Que signifie le statut ""05 EXEI"" ?","L'ordre est en cours d'exécution alors que l'unité de production est à l'arrêt."
"Que signifie le statut ""07 FIN"" ?","L'ordre de travail est techniquement terminé."
"Quelles actions deviennent possibles après qu'un ordre a été lancé ?","On peut lancer l'ordre de travail (OT) et lancer son impression."
"Quelle est la transaction pour confirmer les temps passés sur une opération ?","IW41."
"Que signifie cocher la case ""Confirmation Finale"" dans la transaction IW41 ?","Cela indique que toutes les opérations prévues pour cet ordre de travail ont été confirmées."
"À quoi sert la case ""Annuler réservation"" lors de la confirmation finale ?","Elle permet de libérer les pièces qui avaient été réservées pour l'intervention mais qui n'ont finalement pas été consommées."
"Que signifie cocher la case ""Pas de charge restante"" ?","Cela indique que le travail est complété à 100% et qu'il n'y a plus de temps à prester."
"Quelle est la transaction pour clôturer techniquement un ordre de travail ?","IW32."
"Dans quel onglet de l'avis de maintenance doit-on saisir le compte rendu d'intervention ?","Dans l'onglet ""Compte Rendu"" de l'avis associé."
"Quels sont les trois éléments essentiels d'un compte rendu d'intervention ?","Le(s) Problème(s) constaté(s), la (ou les) Cause(s) identifiée(s), et la (ou les) Solution(s) apportée(s)."
"Quel est le statut de l'ordre de travail requis pour pouvoir le clôturer ?","Il doit avoir le statut ""07 FIN - Ordre terminé""."
"Peut-on clôturer un avis de maintenance en même temps que l'ordre de travail associé ?","Oui, une case à cocher dans la fenêtre de clôture de l'ordre le permet."
"Est-il possible de créer un ordre de travail sans avis de maintenance préalable ?","Oui, avec la transaction IW31, mais ce n'est pas la pratique recommandée."
"Un seul avis de maintenance peut-il générer plusieurs ordres de travail ?","Oui, il est possible de générer plusieurs ordres à partir d'un seul avis."
"Le statut ""CREE"" signifie quoi pour un ordre ?","Que l'ordre a été créé dans le système."
"Que signifie le statut ""LANC"" ?","Que l'ordre a été lancé et que les travaux peuvent commencer."
"Que signifie le statut ""CONF"" ?","Que l'ordre a été au moins partiellement confirmé (temps ou pièces)."
"Que signifie le statut ""CCLF"" ?","Que l'ordre a été clôturé et ne peut plus être modifié."
"Est-il possible de rouvrir un ordre de travail déjà clôturé ?","Généralement non, sauf si l'utilisateur dispose d'autorisations spécifiques."
"Que signifie l'acronyme ""PDR"" dans le contexte de la maintenance ?","Pièces De Rechange."
"Dans SAP PM, ""I-MECA"" est un exemple de quel type de donnée ?","C'est un exemple de poste de travail (ici, Ingénieur Mécanique)."
"Le code ""MEC"" est un exemple de quel type de groupe ?","C'est un exemple de groupe de gestionnaires PM (ici, pour la Mécanique)."
"Qu'est-ce qu'un profil de pannes ?","C'est un catalogue de problèmes et de causes pré-définis pour faciliter la saisie des comptes rendus."
"Dans un profil de pannes, à quoi peut correspondre le code ""01"" ?","À un type de dommage comme ""fissuré/cassé""."
"Dans un profil de pannes, à quoi peut correspondre le code ""02"" ?","À un type de dommage comme ""déformé""."
"Quelles sont les informations clés qui figurent sur l'impression d'un ordre de travail ?","Les détails des opérations, la liste des composants nécessaires et les instructions de travail."
"Sous quelles conditions ou statuts un ordre de travail peut-il être modifié ?","Seulement lorsque son statut est ""ouvert"" ou ""en cours""."
"Les formateurs pour le module Achats (MM) sont-ils les mêmes que pour le module Maintenance (PM) ?","Non, les formateurs sont différents : Ball/Fall pour MM, et Ndiaye/Fall pour PM."
"Le projet SARANA est-il spécifique au module de Maintenance (PM) ?","Non, SARANA est le code du projet global d'implémentation de SAP, qui couvre tous les modules."
"Comment le module Maintenance (PM) interagit-il avec le module Achats (MM) ?","Le module PM ne gère pas directement les achats ; il génère des demandes d'achat (DA) qui sont ensuite traitées par le module MM."
"Est-il recommandé de créer un ordre de travail sans le lier à un équipement ou un poste technique ?","Non, il est fortement recommandé de toujours lier un ordre à un objet technique pour assurer une bonne traçabilité."
"Dans la gestion d'un ordre, à quoi correspond la date de référence de clôture ?","Elle correspond à la date officielle de la clôture technique de l'ordre."
"À quoi correspond l'heure de référence de clôture ?","Elle correspond à l'heure officielle de la clôture technique de l'ordre."
"Quelles informations contient la fenêtre de dialogue (pop-up) de clôture d'un ordre ?","L'option pour clôturer l'avis en même temps, la date et l'heure de référence, et les données relatives à la panne."
"Dans cette fenêtre, que représente le champ 'Début de la panne' ?","La date à laquelle la panne a commencé."
"Que représente le champ 'Fin de la panne' ?","La date à laquelle la panne a été résolue."
"Comment la 'Durée de la panne' est-elle calculée ?","Elle est calculée automatiquement par le système à partir des dates de début et de fin de panne."
"À quoi sert la case à cocher 'Panne' ?","Elle permet d'indiquer si l'intervention a provoqué un arrêt de l'équipement."
"Quelle est la fonction du bouton 'Liste d'utilisations' dans les catalogues ?","Il permet de voir toutes les utilisations d'un code de catalogue (problème, cause, etc.)."
"Que signifie le statut système 'RENS' lorsqu'il est appliqué à un ordre de travail ?","Il indique qu'une réservation de Pièces De Rechange (PDR) n'a pas pu être satisfaite (manque en stock)."
"Que signifie le statut 'WBUD' ?","L'ordre est en attente de validation du budget."
"Que signifie le statut 'WENG' ?","L'ordre est en attente d'une étude de l'ingénierie (engineering)."
"Que signifie le statut 'WMAT' ?","L'ordre est en attente de la réception des pièces (matériel)."
"À quoi sert la clé de zone 'PERMIS' dans la configuration ?","Elle permet de gérer les numéros de permis de travaux."
"Où peut-on renseigner les informations relatives à un permis de travail ?","Dans l'onglet 'Extension' de l'opération concernée."
"À quoi correspond le champ 'N° du permis' dans l'onglet Extension ?","Au numéro du permis de travail, qui est géré en dehors de SAP."
"À quoi correspond le champ 'Attribué le' relatif au permis ?","À la date d'obtention du permis de travail."
"À quel type de document le code 'ZPM' est-il associé ?","À un document lié à la Maintenance (PM), comme un plan d'outillage."
"Que signifie la clé de pilotage '2' pour une opération ?","C'est un paramètre qui pilote le traitement de l'opération."
"À quoi sert le champ 'Qté opération' ?","Il indique la quantité à traiter pour une opération donnée."
"Que signifie l'unité de mesure 'PCE' dans SAP ?","Pièce (Piece)."
"Quelle est la fonction du champ 'Critère de tri' pour les opérations ?","Il sert de critère pour organiser la liste des opérations dans l'ordre de travail."
"À quoi correspond le type d'activité 'RH_INT' ?","Il est utilisé pour imputer les coûts des ressources humaines internes."
"Dans la confirmation des temps, à quoi sert le champ 'Rubrique' ?","Il sert à classifier le type de temps de travail presté."
"À quoi correspond la 'Date d'enregistrement' d'une confirmation ?","À la date à laquelle la confirmation est saisie dans le système."
"Que représente l'heure de début dans le calcul de la confirmation ?","L'heure à laquelle l'intervention a réellement commencé."
"Quelle est la fonction du bouton 'Mouvements de stocks' dans un ordre de travail ?","Il permet de visualiser l'historique de tous les mouvements de composants liés à cet ordre."
"À quoi sert le bouton 'Documents de mesure' ?","Il permet d'accéder aux documents techniques et aux points de mesure liés à l'objet."
"Quelle est la fonction du bouton 'Créer ordre suivant' ?","Il permet de créer un nouvel ordre de travail qui sera automatiquement lié à l'ordre courant."
"À quel type d'intervention le code '61' fait-il référence ?","À un type d'intervention, par exemple Curatif."
"Que montre le champ 'Coûts' dans l'en-tête de l'ordre ?","Il affiche le montant cumulé des coûts planifiés et réels de l'ordre."
"Quelle est l'utilité du bouton 'Modifier' à côté du champ des coûts ?","Il permet d'accéder à l'analyse détaillée des coûts de l'ordre."
"À quoi correspond le champ 'État immo' dans un ordre de travail ?","Il indique le statut de l'immobilisation qui pourrait être liée à l'ordre."
"Que signifie la 'Division de localisation' RAFF ?","Il s'agit de la division où se trouve physiquement l'objet, ici la raffinerie."
"Le code '0140' est un exemple de quel type de donnée ?","Un exemple de code de localisation physique."
"Que peut signifier le code de local 'OFI 1' ?","Un local spécifique, par exemple Officine 1."
"Que représente le 'Secteur d'exploitation' MANT ?","Le secteur d'exploitation responsable, ici la Maintenance."
"Que désigne le 'Poste de travail' I-MECA/RAFF ?","Le poste de l'Ingénieur Mécanique de la Raffinerie."
"Dans la fiche d'un équipement, le code 'ABC V1' est un exemple de quelle classification ?","C'est un exemple de classification ABC, indiquant une criticité de valeur 1."
"À quoi peut correspondre un code comme '10G102' dans le champ 'Zone de tri' ?","À un code de zone géographique ou de rangement."
